,order_id,customer_id,order_type,promo,order_sum,age,name,last_name,gender
207,111,426,app,1,350,27,Мария,Масленникова,ж
210,112,403,app,1,700,18,Александр,Майоров,м
214,114,120,app,0,304,48,Артём,Воробьев,м
220,117,706,app,0,648,29,Игорь,Трофимов,м
228,120,402,app,0,672,31,Ева,Любимова,ж
231,121,143,app,0,676,32,Алёна,Горшкова,ж
234,122,84,app,0,936,24,Тимур,Борисов,м
253,130,615,app,0,320,18,Александра,Свиридова,ж
51,137,288,app,0,323,18,Анастасия,Климова,ж
268,140,369,app,0,1320,25,Ксения,Куликова,ж
269,141,496,app,0,1720,23,Вера,Никифорова,ж
273,143,241,app,0,960,18,Кирилл,Иванов,м
274,144,294,app,1,700,28,Александр,Кожевников,м
277,148,229,app,1,700,19,Александр,Злобин,м
279,149,87,app,0,1002,33,Демид,Бородин,м
281,151,295,app,1,350,45,Елизавета,Козина,ж
283,152,233,app,1,700,39,Анастасия,Зубкова,ж
290,157,789,app,1,350,44,Татьяна,Щербакова,ж
66,160,366,app,0,341,24,Григорий,Куликов,м
297,163,670,app,0,933,18,Марина,Сорокина,ж
203,164,192,app,1,700,41,Михаил,Ежов,м
308,170,180,app,0,346,18,Иван,Дубровин,м
309,171,611,app,0,602,30,Георгий,Сафонов,м
313,173,264,app,0,313,58,София,Исаева,ж
319,177,738,app,0,343,45,Тимофей,Фомин,м
320,179,695,app,1,350,19,Маргарита,Тимофеева,ж
321,180,451,app,0,315,34,Семён,Михайлов,м
324,182,586,app,0,342,27,Мария,Прохорова,ж
326,184,504,app,0,1610,18,Майя,Николаева,ж
328,185,20,app,0,912,19,Анна,Алехина,ж
329,186,693,app,1,350,29,Семён,Тимофеев,м
333,190,534,app,1,700,30,Максим,Островский,м
336,192,148,app,0,3130,30,Арина,Григорьева,ж
337,193,696,app,1,700,19,Павел,Титов,м
342,196,762,app,0,1560,18,Екатерина,Чернышева,ж
345,197,452,app,1,700,31,Анна,Михайлова,ж
362,203,477,app,0,1252,23,Анна,Назарова,ж
354,204,644,app,0,339,23,Елизавета,Смирнова,ж
366,206,664,app,0,339,23,Екатерина,Соловьева,ж
109,207,327,app,1,700,21,Максим,Котов,м
369,208,86,app,0,975,31,Александр,Борисов,м
371,209,381,app,0,344,28,Илья,Лебедев,м
375,210,540,app,0,606,18,Ян,Панов,м
378,211,254,app,1,700,29,Валерия,Иванова,ж
381,214,679,app,0,330,26,Екатерина,Степанова,ж
382,215,2,app,0,346,47,Елизавета,Абрамова,ж
237,217,62,app,0,339,36,Анна,Белоусова,ж
388,222,631,app,0,325,18,София,Сидорова,ж
393,224,461,app,1,700,18,Кирилл,Морозов,м
394,226,713,app,0,348,29,Иван,Ушаков,м
401,229,457,app,0,308,18,Виктория,Моисеева,ж
403,230,49,app,1,350,22,Ангелина,Афанасьева,ж
406,231,161,app,0,987,29,Екатерина,Гусева,ж
162,232,189,app,0,1575,46,Мария,Егорова,ж
412,237,310,app,0,319,47,Никита,Константинов,м
404,241,49,app,0,323,22,Ангелина,Афанасьева,ж
416,243,635,app,1,350,36,Артемий,Скворцов,м
418,245,397,app,1,350,18,Варвара,Львова,ж
421,247,382,app,0,2415,52,Степан,Лебедев,м
397,249,533,app,1,350,44,Мария,Островская,м
424,251,707,app,1,700,38,Ксения,Трофимова,ж
425,252,516,app,0,325,38,София,Новикова,ж
426,253,221,app,0,347,45,Мария,Захарова,ж
81,255,662,app,1,350,29,Тимофей,Соловьев,м
46,256,196,app,1,350,26,Варвара,Ефимова,ж
177,257,268,app,0,335,30,Полина,Казакова,ж
431,258,326,app,0,335,32,Вера,Косарева,ж
434,261,138,app,0,610,21,Александр,Гордеев,м
435,262,219,app,0,326,40,Иван,Захаров,м
437,264,715,app,0,311,38,Анна,Фадеева,ж
438,265,210,app,0,340,18,Таисия,Зайцева,ж
13,267,623,app,0,312,35,Кристина,Семенова,ж
7,268,220,app,1,350,18,Алиса,Захарова,ж
440,269,492,app,0,602,27,София,Никитина,ж
95,271,27,app,1,350,20,Ярослав,Анисимов,м
444,273,764,app,0,308,43,Кира,Чернышева,ж
448,278,422,app,0,301,40,Илья,Мартынов,м
449,279,405,app,0,1260,18,Роман,Макаров,м
450,280,581,app,0,346,26,Илья,Потапов,м
453,281,425,app,0,674,45,Елизавета,Масленникова,ж
454,282,646,app,1,700,23,Вероника,Смирнова,ж
459,284,15,app,0,339,48,Александра,Алексеева,ж
460,285,407,app,1,700,18,Тимофей,Макаров,м
391,287,447,app,0,972,30,Анна,Миронова,ж
464,288,574,app,1,700,38,Вячеслав,Попов,м
466,290,164,app,0,338,52,Валерия,Давыдова,ж
470,293,584,app,0,346,19,Иван,Прохоров,м
473,294,773,app,1,350,18,Павел,Швецов,м
476,296,263,app,1,700,18,Дарья,Исаева,ж
480,299,687,app,1,700,39,Дарья,Сычева,ж
497,308,509,app,1,350,30,Алиса,Никонова,ж
504,313,689,app,0,345,27,Захар,Тарасов,м
506,314,17,app,0,326,29,Антонина,Алексеева,ж
507,315,364,app,0,335,18,Михаил,Кулешов,м
512,317,450,app,0,1026,27,Диана,Митрофанова,ж
514,318,703,app,0,315,18,Ольга,Ткачева,ж
443,319,371,app,0,322,45,Матвей,Курочкин,м
520,321,517,app,0,339,49,Елизавета,Новикова,ж
489,322,415,app,0,1011,35,Виктория,Малахова,ж
521,323,736,app,0,924,26,Милана,Фирсова,ж
523,324,542,app,1,350,45,Ярослава,Парамонова,ж
526,326,491,app,0,1280,20,Мария,Никитина,ж
528,327,571,app,1,700,38,Богдан,Попов,м
531,328,591,app,1,350,18,Екатерина,Романова,ж
533,329,337,app,1,700,39,Мирослава,Краснова,ж
445,330,764,app,0,1690,43,Кира,Чернышева,ж
535,331,60,app,0,303,28,Мария,Белова,ж
171,332,133,app,1,350,29,Полина,Гончарова,ж
537,333,289,app,0,1038,24,Надежда,Климова,ж
538,334,661,app,0,336,22,Валерия,Соколова,ж
540,335,69,app,1,350,19,Михаил,Беляков,м
541,336,465,app,0,324,41,Александра,Морозова,ж
543,337,411,app,0,340,18,Леонид,Макеев,м
232,338,143,app,1,700,32,Алёна,Горшкова,ж
113,340,640,app,0,340,33,Дмитрий,Смирнов,м
286,341,632,app,1,350,18,Александра,Симонова,ж
549,343,25,app,1,350,24,Диана,Андреева,ж
555,348,704,app,1,700,28,Андрей,Третьяков,м
557,349,243,app,1,700,27,Марина,Иванова,ж
564,352,256,app,0,680,31,София,Иванова,ж
565,353,156,app,1,350,23,Алиса,Громова,ж
568,355,259,app,0,335,18,Роман,Игнатьев,м
325,356,586,app,1,350,27,Мария,Прохорова,ж
367,361,664,app,0,347,23,Екатерина,Соловьева,ж
577,362,547,app,0,322,36,Глеб,Петров,м
580,363,96,app,0,341,21,Анастасия,Быкова,ж
582,364,53,app,0,606,22,Арсений,Балашов,м
591,370,165,app,0,333,18,Тимофей,Данилов,м
516,371,380,app,0,310,44,Таисия,Латышева,ж
278,376,229,app,0,314,19,Александр,Злобин,м
380,377,226,app,0,325,29,Варвара,Зимина,ж
67,379,366,app,0,330,24,Григорий,Куликов,м
598,380,199,app,1,700,34,Кира,Ефимова,ж
600,381,483,app,0,307,27,Платон,Нечаев,м
601,382,43,app,0,656,37,Александр,Афанасьев,м
607,386,70,app,1,700,39,Анастасия,Белякова,ж
610,387,674,app,0,314,45,Ярослава,Спиридонова,ж
611,388,85,app,0,612,20,Алексей,Борисов,м
615,391,38,app,1,700,18,Арина,Архипова,ж
617,393,626,app,1,700,42,Елизавета,Сергеева,ж
618,394,3,app,0,337,29,Анна,Авдеева,ж
151,395,13,app,1,350,34,Яна,Алексеева,ж
163,408,189,app,0,1280,46,Мария,Егорова,ж
491,409,245,app,1,700,44,Екатерина,Иванова,ж
631,411,725,app,0,317,27,Елизавета,Федорова,ж
508,415,364,app,0,324,18,Михаил,Кулешов,м
637,417,633,app,1,700,19,Егор,Синицын,м
639,418,314,app,0,304,18,Елизавета,Корнеева,ж
646,420,508,app,0,304,19,Константин,Никольский,м
647,422,237,app,0,350,38,Ярослав,Иванов,м
662,427,48,app,0,664,32,Вероника,Афанасьева,ж
640,431,314,app,0,912,18,Елизавета,Корнеева,ж
674,440,745,app,1,350,23,Александр,Фролов,м
677,444,346,app,0,600,24,Алиса,Кудряшова,ж
679,445,362,app,0,316,22,Таисия,Кузьмина,ж
689,450,434,app,0,333,44,Артём,Медведев,м
655,454,76,app,1,700,39,Мария,Бессонова,ж
125,463,73,app,0,305,25,Полина,Беспалова,ж
355,468,644,app,0,686,23,Елизавета,Смирнова,ж
703,469,733,app,0,1300,29,Ева,Филиппова,ж
10,471,705,app,1,700,37,Марина,Третьякова,ж
704,473,287,app,1,350,27,Даниил,Климов,м
346,474,452,app,1,350,31,Анна,Михайлова,ж
711,478,6,app,0,690,18,София,Агеева,ж
712,479,550,app,0,329,43,Степан,Петров,м
608,485,70,app,1,700,39,Анастасия,Белякова,ж
111,486,82,app,0,1300,19,Александр,Борисов,м
233,488,143,app,1,350,32,Алёна,Горшкова,ж
499,489,206,app,1,350,29,Мария,Журавлева,ж
722,493,417,app,0,638,18,Елизавета,Мальцева,ж
724,495,639,app,0,307,35,Михаил,Смирнов,м
3,496,379,app,1,700,21,Милана,Латышева,ж
400,498,8,app,1,350,29,Леонид,Аксенов,м
559,502,243,app,0,1304,27,Марина,Иванова,ж
731,504,747,app,0,604,32,Даниил,Фролов,м
341,507,501,app,1,350,27,Полина,Николаева,ж
658,508,393,app,0,314,33,Андрей,Логинов,м
734,512,576,app,0,966,22,Ева,Попова,ж
227,513,321,app,0,317,30,Елизавета,Королева,ж
735,514,576,app,0,638,22,Ева,Попова,ж
483,519,225,app,0,340,19,София,Зеленина,ж
737,520,625,app,1,700,37,Ярослав,Сергеев,м
739,521,359,app,1,700,44,Анна,Кузнецова,ж
743,523,102,app,0,1002,22,Варвара,Васильева,ж
747,525,651,app,0,348,27,София,Соболева,ж
542,528,465,app,0,656,41,Александра,Морозова,ж
751,529,463,app,1,700,26,Матвей,Морозов,м
756,534,608,app,0,328,18,Михаил,Самойлов,м
757,535,183,app,0,2853,23,Кирилл,Евдокимов,м
759,540,135,app,1,350,28,Михаил,Горбунов,м
469,541,746,app,0,304,39,Сергей,Фролов,м
572,545,421,app,0,680,27,Анна,Маркова,ж
436,547,219,app,0,1510,40,Иван,Захаров,м
763,548,433,app,0,323,31,Ольга,Матвеева,ж
766,551,202,app,0,939,36,Пётр,Жданов,м
771,556,652,app,1,700,23,Ксения,Соболева,ж
772,557,328,app,1,350,47,Дмитрий,Котов,м
775,561,755,app,0,1605,30,Иван,Чернов,м
532,563,591,app,1,700,18,Екатерина,Романова,ж
311,564,618,app,0,1026,27,Даниил,Селиванов,м
335,568,534,app,1,350,30,Максим,Островский,м
360,569,785,app,1,700,42,Маргарита,Шубина,ж
312,571,618,app,0,314,27,Даниил,Селиванов,м
782,574,92,app,1,350,18,Виктория,Булгакова,ж
398,576,533,app,1,350,44,Мария,Островская,м
784,578,136,app,0,636,19,Савелий,Горбунов,м
785,582,26,app,0,347,27,Мирон,Андрианов,м
527,583,491,app,1,700,20,Мария,Никитина,ж
786,584,714,app,0,339,43,Кира,Фадеева,ж
605,585,530,app,0,606,45,Мария,Осипова,ж
788,588,481,app,0,656,29,Дарина,Нестерова,ж
791,589,681,app,0,312,24,Полина,Степанова,ж
780,590,756,app,0,303,37,Андрей,Чернов,м
509,591,364,app,1,700,18,Михаил,Кулешов,м
688,593,732,app,0,331,30,Артём,Филиппов,м
222,594,149,app,0,2520,34,Анастасия,Григорьева,ж
793,595,65,app,0,1745,35,Андрей,Беляев,м
517,596,380,app,0,648,44,Таисия,Латышева,ж
387,598,130,app,0,305,50,Варвара,Герасимова,ж
797,602,570,app,0,600,32,Александра,Пономарева,ж
801,605,271,app,0,906,27,Алиса,Казакова,ж
810,610,348,app,0,1316,29,Анна,Кузина,ж
811,611,556,app,0,1011,18,Анна,Петровская,м
815,614,654,app,0,630,18,Павел,Соколов,м
513,616,450,app,0,339,27,Диана,Митрофанова,ж
823,623,424,app,0,2988,20,Ева,Мартынова,ж
732,624,747,app,1,350,32,Даниил,Фролов,м
827,628,730,app,1,350,28,Вероника,Филатова,ж
229,630,402,app,1,350,31,Ева,Любимова,ж
828,633,330,app,0,337,25,Ульяна,Котова,ж
252,636,1,app,1,350,18,Валерия,Абрамова,ж
282,641,295,app,0,1020,45,Елизавета,Козина,ж
833,642,428,app,0,1002,32,Герман,Маслов,м
834,643,423,app,0,1220,23,Милана,Мартынова,ж
185,644,513,app,0,307,33,Дмитрий,Новиков,м
835,645,140,app,1,700,27,Злата,Горлова,ж
120,646,786,app,0,336,25,Серафим,Щербаков,м
836,648,354,app,1,700,26,София,Кузнецова,ж
129,650,163,app,0,668,18,Даниил,Давыдов,м
536,652,60,app,0,327,28,Мария,Белова,ж
49,654,80,app,0,301,29,Мария,Большакова,ж
842,656,274,app,0,345,18,Ульяна,Калмыкова,ж
789,659,481,app,0,644,29,Дарина,Нестерова,ж
316,662,188,app,0,600,41,Егор,Егоров,м
845,664,168,app,1,350,35,Даниил,Денисов,м
847,665,356,app,0,334,43,Алиса,Кузнецова,ж
809,666,286,app,0,350,43,Борис,Климов,м
644,668,278,app,0,690,23,Степан,Карпов,м
852,672,619,app,0,327,28,Диана,Селиванова,ж
410,674,204,app,1,350,49,Кирилл,Жуков,м
554,675,151,app,0,945,22,Даниил,Гришин,м
856,677,344,app,0,1376,18,Михаил,Кудрявцев,м
465,681,574,app,0,694,38,Вячеслав,Попов,м
861,684,409,app,0,333,47,Глеб,Макаров,м
831,685,30,app,0,312,25,Иван,Антонов,м
142,686,239,app,1,700,23,Марк,Иванов,м
583,688,53,app,0,939,22,Арсений,Балашов,м
298,690,670,app,0,300,18,Марина,Сорокина,ж
656,691,76,app,0,1268,39,Мария,Бессонова,ж
868,693,383,app,1,350,33,Мария,Лебедева,ж
870,694,718,app,1,700,35,Тимофей,Федоров,м
822,698,799,app,1,700,22,Арина,Яковлева,ж
127,699,73,app,0,1388,25,Полина,Беспалова,ж
876,705,363,app,0,330,32,Дмитрий,Кулаков,м
666,708,338,app,0,318,40,Ксения,Крылова,ж
881,712,177,app,0,316,38,Арина,Долгова,ж
885,715,476,app,0,324,31,Илья,Назаров,м
377,716,540,app,1,350,18,Ян,Панов,м
594,719,658,app,1,350,18,Вероника,Соколова,ж
888,720,593,app,0,1041,32,Анастасия,Рубцова,ж
805,724,108,app,0,1020,36,Елена,Виноградова,ж
500,725,206,app,0,330,29,Мария,Журавлева,ж
347,726,452,app,1,350,31,Анна,Михайлова,ж
895,731,224,app,0,1032,36,Мария,Зверева,ж
530,732,571,app,1,350,38,Богдан,Попов,м
754,733,332,app,0,315,52,Даниил,Кошелев,м
723,737,417,app,1,700,18,Елизавета,Мальцева,ж
183,738,374,app,0,900,34,Никита,Лазарев,м
869,744,383,app,1,700,33,Мария,Лебедева,ж
701,745,443,app,0,318,48,Елизавета,Минина,ж
587,748,404,app,0,302,33,Даниил,Макаров,м
430,749,385,app,1,350,34,Виктория,Лебедева,ж
143,750,239,app,0,334,23,Марк,Иванов,м
900,751,14,app,0,660,40,Алина,Алексеева,ж
581,752,96,app,0,698,21,Анастасия,Быкова,ж
884,756,482,app,1,350,40,Алексей,Нефедов,м
902,757,682,app,1,350,22,Анастасия,Степанова,ж
904,765,526,app,0,335,18,Даниил,Орлов,м
213,767,734,app,1,350,34,София,Филиппова,ж
148,768,182,app,1,700,18,Василиса,Дьяконова,ж
641,769,314,app,0,963,18,Елизавета,Корнеева,ж
905,770,414,app,0,310,26,Леонид,Малахов,м
907,774,752,app,0,620,34,Марк,Хохлов,м
909,776,7,app,0,996,29,Александра,Акимова,ж
910,778,488,app,0,1575,40,Ксения,Никитина,ж
912,780,309,app,1,700,23,Иван,Кононов,м
897,781,292,app,0,345,39,Василиса,Ковалева,ж
825,783,55,app,0,348,32,Матвей,Баранов,м
913,786,349,app,0,336,46,Валерия,Кузина,ж
916,790,253,app,0,328,22,Василиса,Иванова,ж
917,791,29,app,0,2552,39,Николай,Антонов,м
225,792,149,app,0,1047,34,Анастасия,Григорьева,ж
695,796,596,app,0,335,36,Ярослав,Румянцев,м
138,797,319,app,0,310,27,Никита,Королев,м
849,799,250,app,0,303,31,Виктория,Иванова,ж
866,806,94,app,1,700,26,Алексей,Буров,м
86,810,209,app,0,674,40,Лев,Зайцев,м
922,814,57,app,0,1352,39,Максим,Барсуков,м
762,816,258,app,0,1740,28,Екатерина,Иванова,ж
925,819,557,app,1,700,30,Роман,Петровский,м
272,820,766,app,0,630,46,Вероника,Чижова,ж
926,821,23,app,1,350,27,Александр,Андреев,м
802,823,271,app,1,350,27,Алиса,Казакова,ж
562,824,200,app,0,300,27,Кира,Жарова,ж
927,826,23,app,0,1011,27,Александр,Андреев,м
928,827,441,app,0,664,34,Таисия,Мельникова,ж
929,829,142,app,0,323,23,Василиса,Горшкова,ж
931,830,606,app,0,341,18,Александр,Сазонов,м
932,831,776,app,1,350,18,Алиса,Шестакова,ж
573,835,421,app,0,342,27,Анна,Маркова,ж
878,836,158,app,0,326,39,Александр,Гусев,м
576,840,751,app,0,2205,32,Ника,Хомякова,ж
683,844,787,app,0,340,28,Лев,Щербаков,м
940,845,765,app,0,319,43,Михаил,Чижов,м
579,847,547,app,0,341,36,Глеб,Петров,м
943,850,503,app,0,1232,48,Ева,Николаева,ж
458,852,207,app,1,350,24,Максим,Зайцев,м
708,854,458,app,0,680,34,Вера,Моисеева,ж
945,855,577,app,0,1032,34,Варвара,Попова,ж
946,856,41,app,0,636,18,Анастасия,Архипова,ж
678,864,346,app,0,311,24,Алиса,Кудряшова,ж
898,870,292,app,1,350,39,Василиса,Ковалева,ж
956,873,779,app,1,350,33,Алексей,Шилов,м
257,879,134,app,0,1032,28,Ксения,Горбачева,ж
244,881,595,app,0,341,55,Константин,Румянцев,м
317,883,188,app,0,302,41,Егор,Егоров,м
961,885,311,app,0,646,21,Анастасия,Константинова,ж
384,888,538,app,0,622,26,Арина,Павлова,ж
844,892,360,app,0,1336,28,Дмитрий,Кузьмин,м
966,895,800,app,1,350,18,Арина,Яковлева,ж
967,899,722,app,0,668,34,Екатерина,Федорова,ж
851,900,792,app,0,610,28,Руслан,Щукин,м
950,903,598,app,1,350,33,Надежда,Рыбакова,ж
794,910,65,app,1,350,35,Андрей,Беляев,м
599,911,199,app,0,612,34,Кира,Ефимова,ж
628,912,784,app,0,656,18,Андрей,Шмелев,м
160,913,318,app,0,634,38,Мирон,Королев,м
192,915,18,app,0,698,32,Игорь,Алехин,м
951,916,598,app,0,324,33,Надежда,Рыбакова,ж
970,917,32,app,0,333,41,Варвара,Артамонова,ж
971,918,22,app,1,350,24,Георгий,Ананьев,м
8,919,220,app,0,939,18,Алиса,Захарова,ж
975,929,592,app,1,700,28,Тихон,Рубцов,м
976,930,523,app,1,700,44,Вероника,Овсянникова,ж
73,934,554,app,0,304,28,Ева,Петрова,ж
719,937,386,app,0,302,31,Варвара,Лебедева,ж
293,938,213,app,1,350,31,Андрей,Захаров,м
978,940,283,app,1,350,26,Ксения,Кириллова,ж
882,941,177,app,0,316,38,Арина,Долгова,ж
74,942,554,app,0,933,28,Ева,Петрова,ж
115,949,537,app,1,350,38,Анна,Павлова,ж
505,955,689,app,0,333,27,Захар,Тарасов,м
154,956,660,app,1,350,33,Анна,Соколова,ж
511,961,64,app,0,347,40,Артём,Беляев,м
984,963,553,app,0,333,36,Мирослава,Петрова,ж
519,965,380,app,0,624,44,Таисия,Латышева,ж
41,966,42,app,1,350,38,София,Астафьева,ж
987,970,518,app,0,346,31,Елизавета,Новикова,ж
989,972,343,app,1,700,32,Мария,Крючкова,ж
990,973,740,app,1,700,35,Мария,Фомина,ж
740,974,359,app,1,700,44,Анна,Кузнецова,ж
841,975,394,app,1,700,39,Денис,Лосев,м
953,976,498,app,0,650,34,Елизавета,Никифорова,ж
991,977,564,app,0,1047,26,Полина,Позднякова,ж
89,978,370,app,0,676,18,Мария,Куликова,ж
992,980,691,app,1,350,23,Василиса,Тарасова,ж
993,981,493,app,0,668,40,Полина,Никитина,ж
781,984,756,app,0,698,37,Андрей,Чернов,м
873,994,218,app,0,696,41,Артём,Захаров,м
998,995,240,app,1,700,33,Александр,Иванов,м
999,996,280,app,1,700,18,Александра,Карпова,ж
768,998,453,app,0,301,25,Виктория,Михайлова,ж
467,999,164,app,0,604,52,Валерия,Давыдова,ж
